Date,Open,High,Low,Close
2017/2/9,111.847,113.351,111.843,113.315
2017/2/10,113.314,113.857,112.861,113.357
2017/2/13,113.646,114.169,113.455,113.765
2017/2/14,113.764,114.5,113.255,114.321
2017/2/15,114.321,114.957,113.884,114.31
2017/2/16,114.305,114.305,113.095,113.277
2017/2/17,113.29,113.501,112.621,112.891
2017/2/20,112.945,113.238,112.8,113.145
2017/2/21,113.145,113.776,113.145,113.706
2017/2/22,113.707,113.731,112.908,113.314
2017/2/23,113.312,113.457,112.555,112.741
2017/2/24,112.729,112.955,111.938,112.081
2017/2/27,112.23,112.838,111.925,112.742
2017/2/28,112.743,112.886,111.695,112.847
2017/3/1,112.847,114.044,112.779,113.771
2017/3/2,113.774,114.587,113.755,114.389
2017/3/3,114.388,114.749,113.902,113.904
2017/3/6,114.095,114.104,113.56,113.948
2017/3/7,113.947,114.151,113.734,113.992
2017/3/8,113.994,114.749,113.612,114.447
2017/3/9,114.448,115.094,114.367,115.092
2017/3/10,115.093,115.506,114.657,114.729
2017/3/13,114.877,114.954,114.486,114.942
2017/3/14,114.944,115.196,114.523,114.696
2017/3/15,114.697,114.884,113.18,113.451
2017/3/16,113.446,113.538,112.911,113.349
2017/3/17,113.347,113.493,112.567,112.684
2017/3/20,112.735,112.897,112.466,112.534
2017/3/21,112.534,112.866,111.436,111.495
2017/3/22,111.502,111.769,110.738,111.3
2017/3/23,111.295,111.579,110.631,111.028
2017/3/24,111.033,111.481,110.632,111.348
2017/3/27,110.941,110.993,110.116,110.639
2017/3/28,110.639,111.197,110.182,111.068
2017/3/29,111.068,111.314,110.723,111.011
2017/3/30,111.011,111.943,110.946,111.84
2017/3/31,111.848,112.193,111.246,111.319
2017/4/3,111.413,111.579,110.851,110.851
2017/4/4,110.852,110.898,110.272,110.704
2017/4/5,110.703,111.45,110.46,110.508
2017/4/6,110.513,111.13,110.294,110.849
2017/4/7,110.848,111.366,110.138,111.217
2017/4/10,111.085,111.577,110.808,110.861
2017/4/11,110.866,110.886,109.54,109.599
2017/4/12,109.61,109.861,108.918,108.99
2017/4/13,108.989,109.39,108.737,109.141
2017/4/14,109.14,109.232,108.553,108.6
2017/4/17,108.734,109.084,108.137,109.017
2017/4/18,109.017,109.222,108.323,108.444
2017/4/19,108.444,109.178,108.383,108.854
2017/4/20,108.852,109.48,108.723,109.289
2017/4/21,109.289,109.424,108.884,109.106
2017/4/24,110.271,110.345,109.663,109.79
2017/4/25,109.787,111.187,109.602,111.08
2017/4/26,111.08,111.777,110.877,111.104
2017/4/27,111.112,111.597,111.054,111.263
2017/4/28,111.265,111.715,111.074,111.478
2017/5/1,111.418,111.923,111.209,111.85
2017/5/2,111.829,112.304,111.783,112.018
2017/5/3,112.019,112.779,111.966,112.668
2017/5/4,112.667,113.043,112.323,112.539
2017/5/5,112.539,112.766,112.094,112.485
2017/5/8,112.877,113.297,112.399,113.272
2017/5/9,113.275,114.326,113.139,113.989
2017/5/10,113.977,114.356,113.637,114.287
2017/5/11,114.287,114.368,113.461,113.825
2017/5/12,113.825,113.954,113.204,113.272
2017/5/15,113.237,113.848,113.204,113.61
2017/5/16,113.604,113.774,112.933,113.108
2017/5/17,113.104,113.106,110.545,110.723
2017/5/18,110.718,111.721,110.24,111.572
2017/5/19,111.581,111.7,111.053,111.249
2017/5/22,111.18,111.609,110.961,111.295
2017/5/23,111.295,111.857,110.863,111.817
2017/5/24,111.817,112.122,111.483,111.566
2017/5/25,111.566,111.952,111.516,111.832
2017/5/26,111.834,111.849,110.88,111.259
2017/5/29,111.284,111.469,111.176,111.275
2017/5/30,111.276,111.301,110.668,110.853
2017/5/31,110.854,111.214,110.498,110.846
2017/6/1,110.838,111.481,110.716,111.37
2017/6/2,111.369,111.71,110.335,110.421
2017/6/5,110.458,110.724,110.321,110.51
2017/6/6,110.509,110.511,109.228,109.365
2017/6/7,109.359,109.882,109.119,109.79
2017/6/8,109.791,110.38,109.385,109.898
2017/6/9,109.857,110.809,109.817,110.234
2017/6/12,110.405,110.442,109.638,109.905
2017/6/13,109.919,110.27,109.827,110.078
2017/6/14,110.077,110.344,108.851,109.674
2017/6/15,109.672,110.978,109.273,110.888
2017/6/16,110.886,111.417,110.653,110.832
2017/6/19,110.834,111.6,110.794,111.568
2017/6/20,111.568,111.787,111.311,111.455
2017/6/21,111.456,111.73,111.07,111.405
2017/6/22,111.424,111.448,110.954,111.283
2017/6/23,111.287,111.427,111.162,111.26
2017/6/26,111.276,111.937,111.202,111.854
2017/6/27,111.855,112.463,111.468,112.281
2017/6/28,112.278,112.413,111.835,112.276
2017/6/29,112.289,112.927,111.823,112.125
2017/6/30,112.126,112.603,111.739,112.468
2017/7/3,112.224,113.47,112.198,113.398
2017/7/4,113.399,113.409,112.747,113.308
2017/7/5,113.309,113.685,112.83,113.197
2017/7/6,113.195,113.47,112.898,113.179
2017/7/7,113.179,114.181,113.106,113.895
2017/7/10,114.033,114.302,113.91,114.066
2017/7/11,114.066,114.495,113.72,113.97
2017/7/12,113.968,113.968,112.929,113.188
2017/7/13,113.19,113.523,112.871,113.288
2017/7/14,113.287,113.577,112.276,112.545
2017/7/17,112.486,112.868,112.33,112.631
2017/7/18,112.631,112.661,111.687,112.071
2017/7/19,112.071,112.228,111.558,111.88
2017/7/20,111.889,112.419,111.493,111.854
2017/7/21,111.847,112.076,111.016,111.099
2017/7/24,111.144,111.299,110.626,111.177
2017/7/25,111.176,111.959,110.83,111.873
2017/7/26,111.871,112.186,111.061,111.12
2017/7/27,111.127,111.711,110.788,111.328
2017/7/28,111.328,111.328,110.554,110.58
2017/7/31,110.66,110.764,110.214,110.253
2017/8/1,110.255,110.59,109.943,110.369
2017/8/2,110.378,110.985,110.286,110.739
2017/8/3,110.739,110.827,109.865,109.98
2017/8/4,109.976,111.049,109.847,110.687
2017/8/7,110.757,110.92,110.648,110.767
2017/8/8,110.769,110.828,110.252,110.32
2017/8/9,110.32,110.32,109.562,109.927
2017/8/10,109.945,110.181,109.119,109.145
2017/8/11,109.149,109.382,108.795,109.101
2017/8/14,109.091,109.799,109.091,109.617
2017/8/15,109.61,110.848,109.609,110.584
2017/8/16,110.583,110.946,110.032,110.118
2017/8/17,110.119,110.357,109.428,109.428
2017/8/18,109.443,109.598,108.61,109.138
2017/8/21,109.279,109.423,108.642,108.948
2017/8/22,108.953,109.653,108.896,109.588
2017/8/23,109.587,109.825,108.921,108.955
2017/8/24,108.961,109.604,108.852,109.56
2017/8/25,109.564,109.837,109.12,109.295
2017/8/28,109.256,109.41,108.753,108.794
2017/8/29,108.793,109.898,108.27,109.638
2017/8/30,109.639,110.44,109.545,110.237
2017/8/31,110.238,110.67,109.885,109.949
2017/9/1,109.941,110.422,109.567,110.265
2017/9/4,109.655,109.926,109.386,109.699
2017/9/5,109.695,109.833,108.634,108.747
2017/9/6,108.73,109.397,108.453,109.246
2017/9/7,109.221,109.265,108.058,108.391
2017/9/8,108.393,108.486,107.325,107.785
2017/9/11,108.243,109.508,108.174,109.374
2017/9/12,109.368,110.254,109.244,110.158
2017/9/13,110.158,110.69,109.914,110.493
2017/9/14,110.498,111.028,110.081,110.236
2017/9/15,110.236,111.333,109.573,110.841
2017/9/18,111.138,111.664,110.999,111.556
2017/9/19,111.559,111.881,111.207,111.578
2017/9/20,111.575,112.531,111.235,112.301
2017/9/21,112.298,112.716,112.137,112.408
2017/9/22,112.412,112.556,111.655,112.064
2017/9/25,112.179,112.518,111.479,111.718
2017/9/26,111.718,112.466,111.501,112.244
2017/9/27,112.243,113.253,112.238,112.81
2017/9/28,112.81,113.2,112.256,112.314
2017/9/29,112.315,112.727,112.22,112.508
2017/10/2,112.517,113.056,112.51,112.723
2017/10/3,112.723,113.196,112.665,112.891
2017/10/4,112.888,112.938,112.326,112.798
2017/10/5,112.797,112.912,112.416,112.79
2017/10/6,112.792,113.439,112.643,112.655
2017/10/9,112.675,112.746,112.331,112.661
2017/10/10,112.663,112.825,111.993,112.374
2017/10/11,112.374,112.582,112.081,112.51
2017/10/12,112.51,112.522,112.128,112.279
2017/10/13,112.279,112.306,111.69,111.884
2017/10/16,111.897,112.289,111.655,112.147
2017/10/17,112.147,112.478,112.039,112.197
2017/10/18,112.197,113.05,112.142,112.96
2017/10/19,112.963,113.148,112.315,112.567
2017/10/20,112.566,113.568,112.516,113.534
2017/10/23,113.839,114.101,113.246,113.479
2017/10/24,113.479,114.005,113.261,113.926
2017/10/25,113.925,114.244,113.486,113.684
2017/10/26,113.684,114.077,113.346,114.012
2017/10/27,114.019,114.445,113.668,113.677
